,tgus,offset,detected
324,4.1,1.0,-1.0
325,4.1,1.0,-1.0
326,-3.5,1.0,-1.0
327,-3.5,1.0,-1.0
328,-3.8,1.0,-1.0
329,-3.8,1.0,-1.0
330,-11.4,1.0,-1.0
331,4.3,1.0,-1.0
332,4.3,1.0,-1.0
333,-3.2,1.0,-1.0
334,-3.2,1.0,-1.0
335,2.1,1.0,1.0
336,5.5,1.0,-1.0
337,5.5,1.0,-1.0
338,5.5,1.0,-1.0
339,5.5,1.0,-1.0
340,5.5,1.0,-1.0
341,5.5,1.0,-1.0
342,5.5,1.0,-1.0
343,5.5,1.0,-1.0
344,5.3,1.0,-1.0
345,5.3,1.0,-1.0
346,5.3,1.0,-1.0
347,5.3,1.0,-1.0
348,5.3,1.0,-1.0
349,5.3,1.0,1.0
350,5.3,1.0,-1.0
351,5.3,1.0,-1.0
352,5.3,1.0,-1.0
353,2.3,1.0,1.0
354,2.3,1.0,-1.0
355,2.3,1.0,-1.0
356,2.3,1.0,-1.0
357,2.3,1.0,-1.0
358,2.3,1.0,-1.0
359,2.3,1.0,-1.0
360,2.3,1.0,-1.0
361,4.2,1.0,1.0
362,4.4,1.0,1.0
363,4.4,1.0,-1.0
364,4.4,1.0,-1.0
365,4.4,1.0,-1.0
366,4.4,1.0,1.0
367,4.4,1.0,-1.0
368,4.4,1.0,1.0
369,4.4,1.0,1.0
370,32.7,1.0,-1.0
371,32.7,1.0,-1.0
372,32.7,1.0,-1.0
373,32.7,1.0,-1.0
374,32.7,1.0,-1.0
375,32.7,1.0,-1.0
376,32.7,1.0,-1.0
377,32.7,1.0,-1.0
378,39.3,1.0,-1.0
379,39.3,1.0,-1.0
380,39.3,1.0,-1.0
381,39.3,1.0,-1.0
382,2.5,1.0,1.0
383,1.2,1.0,-1.0
384,1.2,1.0,-1.0
385,1.2,1.0,-1.0
386,1.2,1.0,-1.0
387,1.2,1.0,-1.0
388,1.2,1.0,-1.0
389,1.2,1.0,-1.0
390,1.2,1.0,-1.0
