,drainage_class,gus,tgus,detlimit,offset,detected
212,1,2.8,1.1,0.025,1.0,-1.0
213,1,2.8,1.1,0.025,1.0,-1.0
214,1,2.8,1.1,0.025,1.0,-1.0
215,1,2.8,1.1,0.025,1.0,-1.0
216,1,2.8,1.1,0.025,1.0,-1.0
217,1,2.8,1.1,0.025,1.0,-1.0
218,1,2.8,1.1,0.025,1.0,-1.0
219,1,2.18,3.6,0.025,1.0,-1.0
220,1,2.18,3.6,0.025,1.0,-1.0
221,1,2.18,3.6,0.025,1.0,-1.0
222,1,2.18,3.6,0.025,1.0,-1.0
223,1,2.18,3.2,0.025,1.0,-1.0
224,1,2.18,3.2,0.025,1.0,-1.0
225,1,2.18,3.2,0.025,1.0,-1.0
226,1,2.18,3.2,0.025,1.0,-1.0
227,2,2.18,0.8,0.025,1.0,-1.0
228,2,2.18,0.8,0.025,1.0,-1.0
229,2,2.18,0.8,0.025,1.0,-1.0
230,2,2.18,3.3,0.025,1.0,-1.0
231,2,2.18,3.3,0.025,1.0,-1.0
232,2,2.18,3.3,0.025,1.0,-1.0
233,2,2.18,3.3,0.025,1.0,-1.0
234,1,0.43,0.7,0.5,1.0,-1.0
235,1,0.43,0.7,0.5,1.0,-1.0
236,1,0.43,0.7,0.5,1.0,-1.0
237,1,0.43,0.7,0.5,1.0,-1.0
238,1,0.43,0.7,0.5,1.0,-1.0
239,1,0.43,0.7,0.5,1.0,-1.0
240,1,0.43,0.7,0.5,1.0,-1.0
241,1,0.43,0.7,0.5,1.0,-1.0
242,1,0.43,0.5,0.5,1.0,-1.0
243,1,0.43,0.5,0.5,1.0,-1.0
244,1,0.43,0.5,0.5,1.0,-1.0
245,1,0.43,0.5,0.5,1.0,-1.0
246,3,0.43,0.5,0.5,1.0,-1.0
247,3,0.43,0.5,0.5,1.0,-1.0
248,3,0.43,0.5,0.5,1.0,-1.0
249,3,0.43,0.5,0.5,1.0,-1.0
250,1,0.0,-0.7,0.01,1.0,-1.0
251,1,0.0,-0.7,0.01,1.0,-1.0
252,1,0.0,-0.7,0.01,1.0,-1.0
253,1,0.0,-0.7,0.01,1.0,-1.0
254,1,0.0,-0.7,0.01,1.0,-1.0
255,1,0.0,-0.7,0.01,1.0,-1.0
256,1,0.0,-0.7,0.01,1.0,-1.0
257,1,0.0,-0.7,0.01,1.0,-1.0
258,2,0.0,-0.7,0.01,1.0,-1.0
259,2,0.0,-0.7,0.01,1.0,-1.0
260,2,0.0,-0.7,0.01,1.0,-1.0
261,2,0.0,-0.7,0.01,1.0,-1.0
262,2,0.0,-0.7,0.01,1.0,-1.0
263,2,0.0,-0.7,0.01,1.0,-1.0
264,2,0.0,-0.7,0.01,1.0,-1.0
265,5,1.45,-0.7,0.5,1.0,-1.0
266,5,1.45,-0.7,0.5,1.0,-1.0
267,5,1.45,-0.6,0.5,1.0,-1.0
268,5,1.45,-0.6,0.5,1.0,-1.0
269,5,1.45,-0.6,0.5,1.0,-1.0
270,5,1.45,-0.6,0.5,1.0,-1.0
271,5,1.45,-0.7,0.5,1.0,-1.0
272,5,1.45,-0.7,0.5,1.0,-1.0
273,5,1.45,-0.7,0.5,1.0,-1.0
274,5,1.45,-0.7,0.5,1.0,-1.0
275,5,7.22,12.9,0.15,1.0,1.0
276,5,7.22,17.6,0.05,1.0,1.0
277,5,7.22,14.8,0.15,1.0,1.0
278,5,7.22,19.6,0.05,1.0,1.0
279,5,7.22,19.6,0.05,1.0,1.0
280,5,7.22,12.9,0.15,1.0,1.0
281,5,7.22,17.6,0.05,1.0,1.0
282,5,7.22,17.6,0.05,1.0,1.0
283,1,6.88,26.2,0.1,1.0,-1.0
284,1,6.88,26.2,0.1,1.0,-1.0
285,1,6.88,28.6,0.05,1.0,1.0
286,1,6.88,28.6,0.05,1.0,-1.0
287,1,6.88,26.2,0.1,1.0,-1.0
288,1,6.88,26.2,0.1,1.0,-1.0
289,1,6.88,28.6,0.05,1.0,-1.0
290,1,6.88,28.6,0.05,1.0,-1.0
291,1,6.88,27.4,0.05,1.0,1.0
292,1,6.88,26.6,0.1,1.0,-1.0
293,1,6.88,26.6,0.1,1.0,-1.0
294,1,6.88,29.0,0.05,1.0,-1.0
295,1,6.88,29.0,0.05,1.0,1.0
296,1,6.88,25.8,0.1,1.0,-1.0
297,1,6.88,25.8,0.1,1.0,-1.0
298,1,6.88,28.2,0.05,1.0,-1.0
299,1,6.88,28.2,0.05,1.0,-1.0
300,2,6.88,20.7,0.1,1.0,-1.0
