,tgus,Sand %,Silt %,Clay %,offset,detected
170,-0.8,68.5,21.5,10.0,1.0,-1.0
171,-0.8,68.5,21.5,10.0,1.0,-1.0
172,-0.8,68.5,21.5,10.0,1.0,-1.0
173,-0.7,32.1,55.9,12.0,1.0,-1.0
174,-0.7,32.1,55.9,12.0,1.0,-1.0
175,-0.8,20.7,67.3,12.0,1.0,-1.0
176,-0.8,20.7,67.3,12.0,1.0,-1.0
177,-0.7,37.9,35.0,27.1,1.0,-1.0
178,-0.7,37.9,35.0,27.1,1.0,-1.0
179,-0.7,40.0,41.8,18.2,1.0,-1.0
180,-0.7,40.0,41.8,18.2,1.0,-1.0
181,-1.0,71.4,20.4,8.2,1.0,-1.0
182,-1.0,71.4,20.4,8.2,1.0,-1.0
183,-0.7,41.0,42.0,17.0,1.0,-1.0
184,-0.7,41.0,42.0,17.0,1.0,-1.0
185,-0.8,45.3,42.7,12.0,1.0,-1.0
186,-0.8,45.3,42.7,12.0,1.0,-1.0
187,-0.8,24.0,54.0,22.0,1.0,-1.0
188,-0.8,24.0,54.0,22.0,1.0,-1.0
189,-0.9,11.2,66.8,22.0,1.0,-1.0
190,-0.9,11.2,66.8,22.0,1.0,-1.0
191,-0.9,11.2,66.8,13.4,1.0,-1.0
192,-0.9,11.2,66.8,13.4,1.0,-1.0
193,-0.7,56.3,30.3,13.4,1.0,-1.0
194,-0.7,56.3,30.3,13.4,1.0,-1.0
195,1.1,67.7,22.3,10.0,1.0,-1.0
196,1.1,67.7,22.3,10.0,1.0,-1.0
197,1.1,67.7,22.3,10.0,1.0,-1.0
198,1.1,67.7,22.3,10.0,1.0,-1.0
199,1.1,67.7,22.3,10.0,1.0,-1.0
200,1.1,67.7,22.3,10.0,1.0,-1.0
201,1.1,67.7,22.3,10.0,1.0,-1.0
202,1.1,67.7,22.3,10.0,1.0,-1.0
203,3.6,37.9,35.0,27.1,1.0,-1.0
204,3.6,37.9,35.0,27.1,1.0,-1.0
205,3.6,37.9,35.0,27.1,1.0,-1.0
206,3.6,37.9,35.0,27.1,1.0,-1.0
207,3.2,40.0,41.8,18.2,1.0,-1.0
208,3.2,40.0,41.8,18.2,1.0,-1.0
209,3.2,40.0,41.8,18.2,1.0,-1.0
210,3.2,40.0,41.8,18.2,1.0,-1.0
211,0.8,71.4,20.4,8.2,1.0,-1.0
212,0.8,71.4,20.4,8.2,1.0,-1.0
213,0.8,71.4,20.4,8.2,1.0,-1.0
214,3.3,41.0,42.0,17.0,1.0,-1.0
215,3.3,41.0,42.0,17.0,1.0,-1.0
216,3.3,41.0,42.0,17.0,1.0,-1.0
217,3.3,41.0,42.0,17.0,1.0,-1.0
218,0.7,67.7,22.3,10.0,1.0,-1.0
219,0.7,67.7,22.3,10.0,1.0,-1.0
220,0.7,67.7,22.3,10.0,1.0,-1.0
221,0.7,67.7,22.3,10.0,1.0,-1.0
222,0.7,67.7,22.3,10.0,1.0,-1.0
223,0.7,67.7,22.3,10.0,1.0,-1.0
224,0.7,67.7,22.3,10.0,1.0,-1.0
225,0.7,67.7,22.3,10.0,1.0,-1.0
226,0.5,45.3,42.7,12.0,1.0,-1.0
227,0.5,45.3,42.7,12.0,1.0,-1.0
228,0.5,45.3,42.7,12.0,1.0,-1.0
229,0.5,45.3,42.7,12.0,1.0,-1.0
230,0.5,24.0,54.0,22.0,1.0,-1.0
231,0.5,24.0,54.0,22.0,1.0,-1.0
232,0.5,24.0,54.0,22.0,1.0,-1.0
233,0.5,24.0,54.0,22.0,1.0,-1.0
234,-0.7,37.9,35.0,27.1,1.0,-1.0
235,-0.7,37.9,35.0,27.1,1.0,-1.0
236,-0.7,37.9,35.0,27.1,1.0,-1.0
237,-0.7,37.9,35.0,27.1,1.0,-1.0
238,-0.7,40.0,41.8,18.2,1.0,-1.0
239,-0.7,40.0,41.8,18.2,1.0,-1.0
240,-0.7,40.0,41.8,18.2,1.0,-1.0
241,-0.7,40.0,41.8,18.2,1.0,-1.0
242,-0.7,71.4,20.4,8.2,1.0,-1.0
243,-0.7,71.4,20.4,8.2,1.0,-1.0
244,-0.7,71.4,20.4,8.2,1.0,-1.0
245,-0.7,41.0,42.0,17.0,1.0,-1.0
246,-0.7,41.0,42.0,17.0,1.0,-1.0
247,-0.7,41.0,42.0,17.0,1.0,-1.0
248,-0.7,41.0,42.0,17.0,1.0,-1.0
249,26.2,67.7,22.3,10.0,1.0,-1.0
250,26.2,67.7,22.3,10.0,1.0,-1.0
251,28.6,67.7,22.3,10.0,1.0,1.0
252,28.6,67.7,22.3,10.0,1.0,-1.0
253,26.2,67.7,22.3,10.0,1.0,-1.0
254,26.2,67.7,22.3,10.0,1.0,-1.0
255,28.6,67.7,22.3,10.0,1.0,-1.0
256,28.6,67.7,22.3,10.0,1.0,-1.0
257,27.4,20.7,67.3,12.0,1.0,1.0
258,26.6,37.9,35.0,27.1,1.0,-1.0
259,26.6,37.9,35.0,27.1,1.0,-1.0
260,29.0,37.9,35.0,27.1,1.0,-1.0
261,29.0,37.9,35.0,27.1,1.0,1.0
262,25.8,40.0,41.8,18.2,1.0,-1.0
263,25.8,40.0,41.8,18.2,1.0,-1.0
264,28.2,40.0,41.8,18.2,1.0,-1.0
265,28.2,40.0,41.8,18.2,1.0,-1.0
266,20.7,71.4,20.4,8.2,1.0,-1.0
267,20.7,71.4,20.4,8.2,1.0,-1.0
268,23.1,71.4,20.4,8.2,1.0,1.0
269,25.9,41.0,42.0,17.0,1.0,-1.0
270,25.9,41.0,42.0,17.0,1.0,-1.0
271,28.4,41.0,42.0,17.0,1.0,1.0
272,28.4,41.0,42.0,17.0,1.0,1.0
273,24.8,11.2,66.8,22.0,1.0,1.0
274,28.8,56.3,30.3,13.4,1.0,1.0
275,28.8,56.3,30.3,13.4,1.0,1.0
276,5.3,37.9,35.0,27.1,1.0,-1.0
277,5.3,37.9,35.0,27.1,1.0,-1.0
278,-2.3,37.9,35.0,27.1,1.0,-1.0
279,-2.3,37.9,35.0,27.1,1.0,-1.0
280,4.1,40.0,41.8,18.2,1.0,-1.0
281,4.1,40.0,41.8,18.2,1.0,-1.0
282,-3.5,40.0,41.8,18.2,1.0,-1.0
283,-3.5,40.0,41.8,18.2,1.0,-1.0
284,-3.8,71.4,20.4,8.2,1.0,-1.0
285,-3.8,71.4,20.4,8.2,1.0,-1.0
286,-11.4,71.4,20.4,8.2,1.0,-1.0
287,4.3,41.0,42.0,17.0,1.0,-1.0
288,4.3,41.0,42.0,17.0,1.0,-1.0
289,-3.2,41.0,42.0,17.0,1.0,-1.0
290,-3.2,41.0,42.0,17.0,1.0,-1.0
291,2.1,24.0,54.0,22.0,1.0,1.0
292,5.5,67.7,22.3,10.0,1.0,-1.0
293,5.5,67.7,22.3,10.0,1.0,-1.0
294,5.5,67.7,22.3,10.0,1.0,-1.0
295,5.5,67.7,22.3,10.0,1.0,-1.0
296,5.5,67.7,22.3,10.0,1.0,-1.0
297,5.5,67.7,22.3,10.0,1.0,-1.0
298,5.5,67.7,22.3,10.0,1.0,-1.0
299,5.5,67.7,22.3,10.0,1.0,-1.0
300,5.3,68.5,21.5,10.0,1.0,-1.0
301,5.3,68.5,21.5,10.0,1.0,-1.0
302,5.3,68.5,21.5,10.0,1.0,-1.0
